Company Name,Growth Score,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Industry,Business Model,Keywords,Investors,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Has Google Play App,Has iTunes App,Months since last funding,Employees added since last funding,New person months since last funding,New funding employee growth,Date Added
innovationengineering.eu,31,31,31,https://mattermark.com/app/data/11309492/,http://innovationengineering.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Pastguide,30,30,0,https://mattermark.com/app/data/10548516/,http://pastguide.com,"Discover famous tourist locations in their past glory reenacted in 3D on your mobile device!",No,,,,,,,,,,,,,,,37,,,,,,,,,,56,56,0,53,6,,,,,,,310,309,0,295,5,3,3,0,1,1,0,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2014-10-07
synappz.nl,30,30,33,https://mattermark.com/app/data/11309331/,http://synappz.nl,"",No,,,,,,,,,,,,,,,,,,,,,,,,,175,172,2,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
protopixel.net,30,30,32,https://mattermark.com/app/data/11309288/,http://protopixel.net,"",No,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,384,374,3,,,3,3,0,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Tessera Multimedia,29,29,507,https://mattermark.com/app/data/10368976/,http://tessera.gr,"E Tessera drasteriopoieitai ston khoro tes plerophorikes, sta polumesa (multimedia) & to Internet. Skhediase selidon, Demiourgia dunamikon istoselidon - eshop",No,,,,,,,,7,7,0,0,,,,805,,,,,,,,,,115,,,,,,,,,,,359,354,1,352,2,2,2,0,7,,,,,,,,,No Known Funding,,,,greece,,,,grc,EU,Yes,No,Yes,,,,,2014-09-23
PublishDrive,29,29,578,https://mattermark.com/app/data/11057791/,http://publishdrive.com,"makes publishing simple for everyone",No,,,,publishing,,,,,,,,,,,1577,1506,5,,,,,,,,103,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,budapest,budapest,,,hun,EU,No,No,No,,,,,2015-08-21
Viur,29,29,0,https://mattermark.com/app/data/251956/,http://viur.pt,"Viur is a business analytics solution that helps companies to unlock the value of data, through visualization and data exploration.",Yes,,,,analytics|enterprise software,B2B|SaaS,data visualization,,2,2,0,0,2,0,0,3,3,0,3,0,,,,,,57,56,2,57,0,0,0,,2,0,,,,,,,,,,,,,27,26,4,25,8,,No Known Funding,,,,coimbra,coimbra,,,prt,EU,No,No,No,,,,,2014-03-15
Creoir,29,29,31,https://mattermark.com/app/data/214585/creoir,http://creoir.com,"Creoir is a product house offering turn-key solutions for major consumer brands. The products are fully customized smart devices including",No,,,,telecommunications,,,,13,14,-1,-7,14,-1,-7,141,142,-1,54,161,,,,,,184,176,5,172,7,0,0,,0,2,-100,,,,,,,,,,,,369,368,0,363,2,,No Known Funding,,,,helsinki,helsinki,,,fin,EU,No,No,No,,,,,2013-11-09
robserver.eu,28,28,28,https://mattermark.com/app/data/11309298/,http://robserver.eu,"",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,No,No,,,,,2016-02-17
Orbital Aerospace,28,28,12,https://mattermark.com/app/data/242772/,http://orbital-aerospace.com,"Critical Software, Aeronautics, Space",No,,,,,,,,51,50,1,2,46,5,11,5,5,0,10,-50,,,,,,175,173,1,170,3,8,23,-65,31,68,-54,,,,,,,,,,,,559,553,1,536,4,,No Known Funding,,,,noain,noain,,,esp,EU,No,No,No,,,,,2014-02-19
